country,iso3,survey_period,obesity_pct,basis,measurement,derivation,age_group,coverage,source,note
Canada,CAN,1970-1972,9.7,crude,measured,published,18-79,national,Nutrition Canada Survey,"historical; pre-CHMS"
Canada,CAN,1978-1979,13.8,crude,measured,published,18-79,national,Canada Health Survey,"historical; pre-CHMS"
Canada,CAN,2004,23.1,crude,measured,published,18-79,national,CCHS-Nutrition,
Canada,CAN,2007-2009,23.9,crude,measured,published,18-79,national,CHMS,
Canada,CAN,2009-2011,26.2,crude,measured,published,18-79,national,CHMS,
Canada,CAN,2012-2013,26.4,crude,measured,published,18-79,national,CHMS,
Canada,CAN,2014-2015,28.1,crude,measured,published,18-79,national,CHMS,
Canada,CAN,2016-2017,26.9,crude,measured,published,18-79,national,CHMS,
Canada,CAN,2018-2019,24.3,crude,measured,published,18-79,national,CHMS,"real dip"
Canada,CAN,2022-2024,33.4,crude,measured,published,18-79,national,CHMS,"post-COVID jump"
