country,iso3,survey_period,obesity_pct,basis,measurement,derivation,age_group,coverage,source,note
England,GB-ENG,1980,7.5,crude,measured,published,16+,national,NHWS,"pre-HSE anchor"
England,GB-ENG,1993,14.9,crude,measured,published,16+,national,HSE,
England,GB-ENG,1994,15.7,crude,measured,published,16+,national,HSE,
England,GB-ENG,1995,16.4,crude,measured,published,16+,national,HSE,
England,GB-ENG,1996,17.5,crude,measured,published,16+,national,HSE,
England,GB-ENG,1997,18.4,crude,measured,published,16+,national,HSE,
England,GB-ENG,1998,19.4,crude,measured,published,16+,national,HSE,
England,GB-ENG,1999,20.0,crude,measured,published,16+,national,HSE,
England,GB-ENG,2000,21.2,crude,measured,published,16+,national,HSE,
England,GB-ENG,2001,22.4,crude,measured,published,16+,national,HSE,
England,GB-ENG,2002,22.5,crude,measured,published,16+,national,HSE,
England,GB-ENG,2003,22.6,crude,measured,published,16+,national,HSE,
England,GB-ENG,2004,22.9,crude,measured,published,16+,national,HSE,
England,GB-ENG,2005,23.2,crude,measured,published,16+,national,HSE,
England,GB-ENG,2006,23.9,crude,measured,published,16+,national,HSE,
England,GB-ENG,2007,24.0,crude,measured,published,16+,national,HSE,
England,GB-ENG,2008,24.5,crude,measured,published,16+,national,HSE,
England,GB-ENG,2009,23.0,crude,measured,published,16+,national,HSE,"real survey dip"
England,GB-ENG,2010,26.1,crude,measured,published,16+,national,HSE,"real survey jump"
England,GB-ENG,2011,24.8,crude,measured,published,16+,national,HSE,
England,GB-ENG,2012,24.7,crude,measured,published,16+,national,HSE,
England,GB-ENG,2013,24.9,crude,measured,published,16+,national,HSE,
England,GB-ENG,2014,25.6,crude,measured,published,16+,national,HSE,
England,GB-ENG,2015,26.9,crude,measured,published,16+,national,HSE,
England,GB-ENG,2016,26.2,crude,measured,published,16+,national,HSE,
England,GB-ENG,2017,28.7,crude,measured,published,16+,national,HSE,
England,GB-ENG,2018,27.7,crude,measured,published,16+,national,HSE,
England,GB-ENG,2019,28.0,crude,measured,published,16+,national,HSE,
England,GB-ENG,2022,28.9,crude,measured,published,16+,national,HSE,"2020 (no survey) & 2021 (self-report) excluded"
England,GB-ENG,2024,29.9,crude,measured,published,16+,national,HSE,
