country,iso3,survey_period,obesity_pct
New Zealand,NZL,1977,10.0
New Zealand,NZL,1989,11.0
New Zealand,NZL,1997,17.0
New Zealand,NZL,2011-2012,28.6
New Zealand,NZL,2012-2013,30.9
New Zealand,NZL,2013-2014,30.0
New Zealand,NZL,2014-2015,30.9
New Zealand,NZL,2015-2016,31.8
New Zealand,NZL,2016-2017,32.4
New Zealand,NZL,2017-2018,32.4
New Zealand,NZL,2018-2019,31.0
New Zealand,NZL,2019-2020,31.3
New Zealand,NZL,2020-2021,34.4
New Zealand,NZL,2022-2023,32.5
New Zealand,NZL,2023-2024,33.7
New Zealand,NZL,2024-2025,34.2
