country,iso3,survey_period,obesity_pct,basis,measurement,derivation,age_group,coverage,source,note
United States,USA,1900-1901,3.0,crude,measured,anchor,20+,national,Helmchen & Henderson,"anthropometric anchor; derived, not a prevalence survey"
United States,USA,1960-1962,13.4,age-standardised,measured,published,20-74,national,NHES,"age-standardised to 2000 US standard; crude not recoverable from microdata (stature stored only as ponderal indices)"
United States,USA,1971-1974,14.5,age-standardised,measured,published,20-74,national,NHANES I,"age-standardised to 2000 US standard; public file lacks an exam weight so crude not reliably computable"
United States,USA,1976-1980,14.5,crude,measured,published,20-74,national,NHANES II,"crude, from NHANES II microdata; survey had no 75+"
United States,USA,1988-1994,22.3,crude,measured,published,20+,national,NHANES III,"crude, from NHANES III microdata"
United States,USA,1999-2000,29.9,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2001-2002,30.0,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2003-2004,32.0,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2005-2006,34.2,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2007-2008,33.7,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2009-2010,35.8,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2011-2012,35.1,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2013-2014,37.9,crude,measured,published,20+,national,NHANES,"crude, from NHANES microdata"
United States,USA,2015-2016,39.8,crude,measured,published,20+,national,NHANES,"crude (matches NCHS published crude total)"
United States,USA,2017-2018,42.5,crude,measured,published,20+,national,NHANES,"crude (matches NCHS published crude total)"
United States,USA,2021-2023,40.3,crude,measured,published,20+,national,NHANES,"crude (matches NCHS published crude total)"
